id_prj,id_version,version_name,level1,level2,hist_date,hist_value,flag_adj
106,1,Version 1,Bogor,Sportswear,2022-11-07T00:00:00.000000000Z,637.0,1
106,1,Version 1,Bogor,Sportswear,2022-11-14T00:00:00.000000000Z,570.0,1
106,1,Version 1,Bogor,Sportswear,2022-11-21T00:00:00.000000000Z,550.0,1
106,1,Version 1,Bogor,Sportswear,2022-11-28T00:00:00.000000000Z,561.0,1
106,1,Version 1,Bogor,Sportswear,2022-12-05T00:00:00.000000000Z,509.0,1
106,1,Version 1,Bogor,Sportswear,2022-12-12T00:00:00.000000000Z,500.0,1
106,1,Version 1,Bogor,Sportswear,2022-12-19T00:00:00.000000000Z,500.0,1
106,1,Version 1,Bogor,Sportswear,2022-12-26T00:00:00.000000000Z,628.0,1
106,1,Version 1,Bogor,Sportswear,2023-01-02T00:00:00.000000000Z,631.0,1
106,1,Version 1,Bogor,Sportswear,2023-01-09T00:00:00.000000000Z,672.0,1
106,1,Version 1,Bogor,Sportswear,2023-01-16T00:00:00.000000000Z,633.0,1
106,1,Version 1,Bogor,Sportswear,2023-01-23T00:00:00.000000000Z,654.0,1
106,1,Version 1,Bogor,Sportswear,2023-01-30T00:00:00.000000000Z,787.0,1
106,1,Version 1,Bogor,Sportswear,2023-02-06T00:00:00.000000000Z,683.0,1
106,1,Version 1,Bogor,Sportswear,2023-02-13T00:00:00.000000000Z,691.0,1
106,1,Version 1,Bogor,Sportswear,2023-02-20T00:00:00.000000000Z,716.0,1
106,1,Version 1,Bogor,Sportswear,2023-02-27T00:00:00.000000000Z,724.0,1
106,1,Version 1,Bogor,Sportswear,2023-03-06T00:00:00.000000000Z,683.0,1
106,1,Version 1,Bogor,Sportswear,2023-03-13T00:00:00.000000000Z,787.0,1
106,1,Version 1,Bogor,Sportswear,2023-03-20T00:00:00.000000000Z,705.0,1
106,1,Version 1,Bogor,Sportswear,2023-03-27T00:00:00.000000000Z,789.0,1
106,1,Version 1,Bogor,Sportswear,2023-04-03T00:00:00.000000000Z,735.0,1
106,1,Version 1,Bogor,Sportswear,2023-04-10T00:00:00.000000000Z,777.0,1
106,1,Version 1,Bogor,Sportswear,2023-04-17T00:00:00.000000000Z,874.0,1
106,1,Version 1,Bogor,Sportswear,2023-04-24T00:00:00.000000000Z,890.0,1
106,1,Version 1,Bogor,Sportswear,2023-05-01T00:00:00.000000000Z,787.0,1
106,1,Version 1,Bogor,Sportswear,2023-05-08T00:00:00.000000000Z,876.0,1
106,1,Version 1,Bogor,Sportswear,2023-05-15T00:00:00.000000000Z,894.0,1
106,1,Version 1,Bogor,Sportswear,2023-05-22T00:00:00.000000000Z,874.0,1
106,1,Version 1,Bogor,Sportswear,2023-05-29T00:00:00.000000000Z,877.0,1
106,1,Version 1,Bogor,Sportswear,2023-06-05T00:00:00.000000000Z,839.0,1
106,1,Version 1,Bogor,Sportswear,2023-06-12T00:00:00.000000000Z,874.0,1
106,1,Version 1,Bogor,Sportswear,2023-06-19T00:00:00.000000000Z,857.0,1
106,1,Version 1,Bogor,Sportswear,2023-06-26T00:00:00.000000000Z,802.0,1
106,1,Version 1,Bogor,Sportswear,2023-07-03T00:00:00.000000000Z,798.0,1
106,1,Version 1,Bogor,Sportswear,2023-07-10T00:00:00.000000000Z,898.0,1
106,1,Version 1,Bogor,Sportswear,2023-07-17T00:00:00.000000000Z,894.0,1
106,1,Version 1,Bogor,Sportswear,2023-07-24T00:00:00.000000000Z,866.0,1
106,1,Version 1,Bogor,Sportswear,2023-07-31T00:00:00.000000000Z,885.0,1
106,1,Version 1,Bogor,Sportswear,2023-08-07T00:00:00.000000000Z,794.0,1
106,1,Version 1,Bogor,Sportswear,2023-08-14T00:00:00.000000000Z,805.0,1
106,1,Version 1,Bogor,Sportswear,2023-08-21T00:00:00.000000000Z,839.0,1
106,1,Version 1,Bogor,Sportswear,2023-08-28T00:00:00.000000000Z,755.0,1
106,1,Version 1,Bogor,Sportswear,2023-09-04T00:00:00.000000000Z,720.0,1
106,1,Version 1,Bogor,Sportswear,2023-09-11T00:00:00.000000000Z,676.0,1
106,1,Version 1,Bogor,Sportswear,2023-09-18T00:00:00.000000000Z,622.0,1
106,1,Version 1,Bogor,Sportswear,2023-09-25T00:00:00.000000000Z,618.0,1
106,1,Version 1,Bogor,Sportswear,2023-10-02T00:00:00.000000000Z,631.0,1
106,1,Version 1,Bogor,Sportswear,2023-10-09T00:00:00.000000000Z,702.0,1
106,1,Version 1,Bogor,Sportswear,2023-10-16T00:00:00.000000000Z,666.0,1
106,1,Version 1,Bogor,Sportswear,2023-10-23T00:00:00.000000000Z,613.0,1
106,1,Version 1,Bogor,Sportswear,2023-10-30T00:00:00.000000000Z,644.0,1
106,1,Version 1,Bogor,Sportswear,2023-11-06T00:00:00.000000000Z,657.0,1
106,1,Version 1,Bogor,Sportswear,2023-11-13T00:00:00.000000000Z,609.0,1
106,1,Version 1,Bogor,Sportswear,2023-11-20T00:00:00.000000000Z,605.0,1
106,1,Version 1,Bogor,Sportswear,2023-11-27T00:00:00.000000000Z,557.0,1
